asciiname	latitude	longitude	geonameid	name	alternatenames
Jabalya	31.5272	34.48347	281129	Jabālyā	Dzhabalija,Jabalia,Jabaliya,Jabalya,Jabāliyā,Jabālyā,jbalya,Джабалия,جباليا
Bayt Lahya	31.5464	34.49514	281145	Bayt Lāhyā	Bayt Lahiya,Bayt Lahiyah,Bayt Lahya,Bayt Lāhiya,Bayt Lāhiyah,Bayt Lāhyā,Beit Lahia,Beit Lahiya,Beit Lahya,Beit Lāhiya,byt lahya,بيت لاهيا
Jabalia	31.53639	34.49454	281128	Jabalia	Jabalia,Mukhayyam Jabaliya,Mukhayyam Jabalya,Mukhayyam Jabāliyā,Mukhayyam Jabālyā,mkhym jbalya,مخيم جباليا
Bayt Hanun	31.5353	34.53579	281146	Bayt Ḩānūn	Bait Hanun,Bajt Hanun,Bajt Hánún,Bayt Hanun,Bayt Ḩanūn,Bayt Ḩānūn,Beit Chanoun,Beit Hanoon,Beit Hanoum,Beit Hanoun,Beit Hanun,Beit Hanuna,Beit Hānūna,Bejt-Khanun,Beyt Hanun,bai te ha nen,byt hanwn,byt hnwn,Μπέιτ Χανούν,Бейт-Ханун,בית חאנון,بيت حانون,بيت حنون,بیت حانون,بیت‌حانون,ベイト・ハヌーン,拜特哈嫩
Khan Younis	31.34929	34.29336	281123	Khan Younis	Khan Younis,Khan Younis camp,KhanYounis,Mukhayyam Khan Yunis,Mukhayyam Khan Yunus,Mukhayyam Khanyunis,Mukhayyam Khān Yūnis,Mukhayyam Khān Yūnus,Mukhayyam Khānyūnis,campo de Jan Yunis,campo de Jan Yunís,campo de refugiados de Jan Yunis,campo de refugiados de Jan Yunís,mkhym khan ywns,mkhym khanywns,مخيم خان يونس,مخيم خانيونس
An Nusayrat	31.44861	34.3925	281109	An Nuşayrāt	An Nusayrat,An Nuşayrāt,Nusayrat,Nuseira,Nuseirat,Nuşayrāt,Nuṣeirā,alnsyrat,النصيرات
Al Burayj	31.43944	34.40306	281161	Al Burayj	Al Buraij,Al Burayj,Al-Bureij,Bureij,El Bureij,albryj,البريج
Rafah	31.28537	34.25186	281101	Rafah	Mukhayyam Rafah,Mukhayyam Rafaḩ,Rafah,mkhym rfh,مخيم رفح
Bani Suhayla	31.34337	34.32337	281148	Banī Suhaylā	Bani Sueheyla,Bani Suhajla,Bani Suhayl,Bani Suhayla,Bani Suhaylah,Bani Suheila,Bani Süheyla,Bani-Sukhajla,Baní Suhajla,Banī Suhayl,Banī Suhaylah,Banī Suhaylā,bny shyla,bny swhylh,Бани-Сухайла,בני סוהילה,بني سهيلا,بنی سهیلا,بنی سہیلہ,バニ・スヘイラ
Nuseirat	31.44558	34.38983	281108	Nuseirat	Mukhayyam Nusayrat,Mukhayyam Nuşayrāt,Mukhayyam an Nusayrat,Mukhayyam an Nuşayrāt,Nuseirat,mkhym alnsyrat,مخيم النصيرات
Bureij	31.43846	34.40409	281142	Bureij	Bureij,Mukhayyam al Burayj,mkhym albryj,مخيم البريج
Al Qararah	31.37389	34.34085	6967865	Al Qarārah	Al Qarara,Al Qararah,Al Qarārah,alqrart,القرارة
Abasan al Kabirah	31.31913	34.34005	281165	‘Abasān al Kabīrah	Abasan,Abasan Kabera,Abasan al Kabir,Abasan al-Kabera,Abasan alkabir,Abasan el-Kabir,Abasân el-Kabîr,Abasān,Abasān al Kabīr,`Abasan al Kabirah,عبسان الكبيرة,‘Abasān al Kabīrah
